Date,Time,TC,TS,Clo,Act
2020-10-19,00:00,,,,
2020-10-19,00:30,,,,
2020-10-19,01:00,,,,
2020-10-19,01:30,,,,
2020-10-19,02:00,,,,
2020-10-19,02:30,,,,
2020-10-19,03:00,,,,
2020-10-19,03:30,,,,
2020-10-19,04:00,,,,
2020-10-19,04:30,,,,
2020-10-19,05:00,,,,
2020-10-19,05:30,,,,
2020-10-19,06:00,,,,
2020-10-19,06:30,,,,
2020-10-19,07:00,,,,
2020-10-19,07:30,,,,
2020-10-19,08:00,,,,
2020-10-19,08:30,,,,
2020-10-19,09:00,,,,
2020-10-19,09:30,,,,
2020-10-19,10:00,4,5,0.36,1
2020-10-19,10:30,4,4,0.36,1
2020-10-19,11:00,5,4,0.36,1
2020-10-19,11:30,5,4,0.36,1
2020-10-19,12:00,5,4,0.36,1
2020-10-19,12:30,5,4,0.36,1.1
2020-10-19,13:00,5,4,0.36,1.1
2020-10-19,13:30,6,3,0.36,1.1
2020-10-19,14:00,6,2,0.36,1.1
2020-10-19,14:30,6,2,0.36,1.1
2020-10-19,15:00,6,2,0.36,1.1
2020-10-19,15:30,7,1,0.36,1.1
2020-10-19,16:00,7,1,0.36,1.1
2020-10-19,16:30,5,4,0.36,1.1
2020-10-19,17:00,4,4,0.57,1.4
2020-10-19,17:30,4,4,0.57,1.4
2020-10-19,18:00,3,5,0.36,1.1
2020-10-19,18:30,3,5,0.36,1.1
2020-10-19,19:00,4,4,0.36,1.1
2020-10-19,19:30,4,4,0.36,1.1
2020-10-19,20:00,4,4,0.36,1.1
2020-10-19,20:30,4,4,0.36,1.1
2020-10-19,21:00,4,4,0.36,1.1
2020-10-19,21:30,4,4,0.36,1.1
2020-10-19,22:00,3,4,0.36,1.1
2020-10-19,22:30,3,4,0.36,1.1
2020-10-19,23:00,3,4,0.36,1.1
2020-10-19,23:30,,,,
2020-10-20,00:00,,,,
2020-10-20,00:30,,,,
2020-10-20,01:00,,,,
2020-10-20,01:30,,,,
2020-10-20,02:00,,,,
2020-10-20,02:30,,,,
2020-10-20,03:00,,,,
2020-10-20,03:30,,,,
2020-10-20,04:00,,,,
2020-10-20,04:30,,,,
2020-10-20,05:00,,,,
2020-10-20,05:30,,,,
2020-10-20,06:00,,,,
2020-10-20,06:30,,,,
2020-10-20,07:00,,,,
2020-10-20,07:30,,,,
2020-10-20,08:00,,,,
2020-10-20,08:30,,,,
2020-10-20,09:00,,,,
2020-10-20,09:30,,,,
2020-10-20,10:00,,,,
2020-10-20,10:30,,,,
2020-10-20,11:00,4,5,0.36,1
2020-10-20,11:30,4,5,0.36,1.1
2020-10-20,12:00,4,5,0.36,1.1
2020-10-20,12:30,4,5,0.36,1.1
2020-10-20,13:00,4,5,0.36,1.1
2020-10-20,13:30,5,4,0.36,1.1
2020-10-20,14:00,5,4,0.36,1.1
2020-10-20,14:30,6,3,0.57,1.4
2020-10-20,15:00,6,3,0.57,1.7
2020-10-20,15:30,6,3,0.36,1.1
2020-10-20,16:00,5,4,0.36,1.1
2020-10-20,16:30,5,4,0.36,1.1
2020-10-20,17:00,5,4,0.36,1.1
2020-10-20,17:30,5,4,0.36,1.1
2020-10-20,18:00,4,4,0.36,1.1
2020-10-20,18:30,4,4,0.36,1.1
2020-10-20,19:00,4,4,0.36,1.1
2020-10-20,19:30,4,4,0.36,1.1
2020-10-20,20:00,3,4,0.36,1.1
2020-10-20,20:30,3,4,0.36,1.1
2020-10-20,21:00,3,4,0.36,1.1
2020-10-20,21:30,3,4,0.36,1.1
2020-10-20,22:00,5,4,0.36,3.8
2020-10-20,22:30,5,3,0.36,3.8
2020-10-20,23:00,4,4,0.36,1.1
2020-10-20,23:30,,,,
2020-10-21,00:00,,,,
2020-10-21,00:30,,,,
2020-10-21,01:00,,,,
2020-10-21,01:30,,,,
2020-10-21,02:00,,,,
2020-10-21,02:30,,,,
2020-10-21,03:00,,,,
2020-10-21,03:30,,,,
2020-10-21,04:00,,,,
2020-10-21,04:30,,,,
2020-10-21,05:00,,,,
2020-10-21,05:30,,,,
2020-10-21,06:00,,,,
2020-10-21,06:30,,,,
2020-10-21,07:00,,,,
2020-10-21,07:30,,,,
2020-10-21,08:00,,,,
2020-10-21,08:30,,,,
2020-10-21,09:00,,,,
2020-10-21,09:30,,,,
2020-10-21,10:00,,,,
2020-10-21,10:30,,,,
2020-10-21,11:00,,,,
2020-10-21,11:30,4,4,0.36,1.1
2020-10-21,12:00,4,4,0.36,1.1
2020-10-21,12:30,4,4,0.36,1.1
2020-10-21,13:00,4,4,0.36,1.1
2020-10-21,13:30,4,4,0.36,1.1
2020-10-21,14:00,5,4,0.36,1.1
2020-10-21,14:30,5,4,0.36,1.1
2020-10-21,15:00,4,4,0.36,1.1
2020-10-21,15:30,4,4,0.36,1.1
2020-10-21,16:00,4,4,0.36,1.1
2020-10-21,16:30,4,5,0.36,1.1
2020-10-21,17:00,4,5,0.36,1.1
2020-10-21,17:30,4,4,0.36,1.1
2020-10-21,18:00,4,4,0.36,1.1
2020-10-21,18:30,4,4,0.36,1.1
2020-10-21,19:00,3,5,0.36,1.1
2020-10-21,19:30,3,5,0.36,1.1
2020-10-21,20:00,3,5,0.36,1.1
2020-10-21,20:30,3,5,0.36,1.1
2020-10-21,21:00,3,5,0.36,1.1
2020-10-21,21:30,3,5,0.36,1.1
2020-10-21,22:00,3,5,0.36,1.1
2020-10-21,22:30,3,5,0.36,1.1
2020-10-21,23:00,3,5,0.36,1.1
2020-10-21,23:30,3,5,0.36,1.1